2620	Kowen Forest	ACT	-35.4404	149.2114
2620	Oaks Estate	ACT	-35.34	149.228
2620	Hume	ACT	-35.3855	149.1658
2620	Tharwa	ACT	-35.5167	149.0667
2620	Williamsdale	ACT	-35.4404	149.2114
2620	Top Naas	ACT	-35.4404	149.2114
2620	Paddys River	ACT	-35.4404	149.2114
2620	Kowen	ACT	-35.3129	149.3162
2620	Beard	ACT	-35.3422	149.2101
2611	Waramanga	ACT	-35.353	149.0621
2611	Weston	ACT	-35.3358	149.0593
2611	Denman Prospect	ACT	-35.2996	149.0207
2611	Stirling	ACT	-35.3497	149.0493
2611	Fisher	ACT	-35.3613	149.057
2611	Rivett	ACT	-35.3471	149.0379
2611	Coombs	ACT	-35.3163	149.0394
2611	Duffy	ACT	-35.3346	149.0319
2611	Chapman	ACT	-35.3562	149.0374
2611	Molonglo	ACT	-35.3333	149.1833
2611	Pierces Creek	ACT	-35.3497	148.9986
2611	Uriarra Village	ACT	-35.2947	148.9256
2611	Wright	ACT	-35.3224	149.0346
2611	Coree	ACT	-35.2794	148.9194
2611	Mount Stromlo	ACT	-35.3497	148.9986
2611	Uriarra Forest	ACT	-35.3497	148.9986
2611	Weston Creek	ACT	-35.3333	149.05
2611	Whitlam	ACT	-35.3497	148.9986
2611	Stromlo	ACT	-35.3255	148.9993
2611	Holder	ACT	-35.3344	149.0461
2600	Russell Hill	ACT	-35.307	149.139
2600	Russell	ACT	-35.2977	149.151
2600	Parliament House	ACT	-35.307	149.139
2600	Yarralumla	ACT	-35.2998	149.1058
2600	Parkes	ACT	-35.3018	149.1304
2600	Barton	ACT	-35.3049	149.1412
2600	Hmas Harman	ACT	-35.307	149.139
2600	Fairbairn Raaf	ACT	-35.307	149.139
2600	Canberra	ACT	-35.2835	149.1281
2600	Deakin West	ACT	-35.307	149.139
2600	Harman	ACT	-35.35	149.2
2600	Capital Hill	ACT	-35.3066	149.1246
2600	Deakin	ACT	-35.3193	149.1031
2600	Duntroon	ACT	-35.3	149.1667
2601	City	ACT	-35.2813	149.1293
2601	Acton	ACT	-35.2777	149.1183
2601	Black Mountain	ACT	-35.2808	149.1252
2601	Canberra	ACT	-35.2835	149.1281
2602	Watson	ACT	-35.2381	149.1527
2602	O’Connor	ACT	-35.2488	149.141
2602	Hackett	ACT	-35.2495	149.1635
2602	Lyneham	ACT	-35.2398	149.1307
2602	Ainslie	ACT	-35.2625	149.1437
2602	O'Connor	ACT	-35.2564	149.1125
2602	Downer	ACT	-35.2446	149.1447
2602	Dickson	ACT	-35.2508	149.1393
2603	Red Hill	ACT	-35.3262	149.1191
2603	Forrest	ACT	-35.315	149.1286
2603	Manuka	ACT	-35.3222	149.1283
2603	Griffith	ACT	-35.3253	149.1371
2604	Narrabundah	ACT	-35.3357	149.1492
2604	Causeway	ACT	-35.3151	149.1512
2604	Kingston	ACT	-35.3152	149.1466
2605	Hughes	ACT	-35.3327	149.0949
2605	Curtin	ACT	-35.3246	149.0776
2605	Garran	ACT	-35.3421	149.1085
2606	Phillip	ACT	-35.3503	149.0915
2606	Woden	ACT	-35.3492	149.0888
2606	Swinger Hill	ACT	-35.3492	149.0888
2606	Lyons	ACT	-35.3406	149.074
2606	O’Malley	ACT	-35.3492	149.0888
2606	Chifley	ACT	-35.3534	149.0768
2606	Phillip Dc	ACT	-35.3492	149.0888
2606	O'Malley	ACT	-35.3525	149.1128
2607	Farrer	ACT	-35.3767	149.105
2607	Torrens	ACT	-35.372	149.0877
2607	Isaacs	ACT	-35.3686	149.1156
2607	Mawson	ACT	-35.3634	149.0986
2607	Pearce	ACT	-35.3622	149.0834
2608	Civic Square	ACT	-35.312	149.1294
2609	Majura	ACT	-35.2667	149.2
2609	Fyshwick	ACT	-35.3333	149.1667
2609	Canberra Airport	ACT	-35.3179	149.1832
2609	Symonston	ACT	-35.3516	149.1592
2609	Canberra International Airport	ACT	-35.3179	149.1832
2609	Pialligo	ACT	-35.3201	149.207
2610	Canberra Mc	ACT	-35.27	149.0452
2610	Canberra Bc	ACT	-35.27	149.0452
